,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,profit_per
0,723.0,178.0,0.0,855.0,1000.0,760505847.0,886204,4834,0.0,3054.0,237000000.0,2009.0,936.0,7.9,33000,523505847.0,320.88854303797467
1,302.0,169.0,563.0,1000.0,40000.0,309404152.0,471220,48350,0.0,1238.0,300000000.0,2007.0,5000.0,7.1,0,9404152.0,103.13471733333333
2,602.0,148.0,0.0,161.0,11000.0,200074175.0,275868,11700,1.0,994.0,245000000.0,2015.0,393.0,6.8,85000,-44925825.0,81.66292857142857
3,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,1144337,106759,0.0,2701.0,250000000.0,2012.0,23000.0,8.5,164000,198130642.0,179.2522568
5,462.0,132.0,475.0,530.0,640.0,73058679.0,212204,1873,1.0,738.0,263700000.0,2012.0,632.0,6.6,24000,-190641321.0,27.7052252559727
6,392.0,156.0,0.0,4000.0,24000.0,336530303.0,383056,46055,0.0,1902.0,258000000.0,2007.0,11000.0,6.2,0,78530303.0,130.4381019379845
7,324.0,100.0,15.0,284.0,799.0,200807262.0,294810,2036,1.0,387.0,260000000.0,2010.0,553.0,7.8,29000,-59192738.0,77.23356230769231
8,635.0,141.0,0.0,19000.0,26000.0,458991599.0,462669,92000,4.0,1117.0,250000000.0,2015.0,21000.0,7.5,118000,208991599.0,183.5966396
9,375.0,153.0,282.0,10000.0,25000.0,301956980.0,321795,58753,3.0,973.0,250000000.0,2009.0,11000.0,7.5,10000,51956980.0,120.782792
10,673.0,183.0,0.0,2000.0,15000.0,330249062.0,371639,24450,0.0,3018.0,250000000.0,2016.0,4000.0,6.9,197000,80249062.0,132.0996248
11,434.0,169.0,0.0,903.0,18000.0,200069408.0,240396,29991,0.0,2367.0,209000000.0,2006.0,10000.0,6.1,0,-8930592.0,95.72698947368421
12,403.0,106.0,395.0,393.0,451.0,168368427.0,330784,2023,1.0,1243.0,200000000.0,2008.0,412.0,6.7,0,-31631573.0,84.1842135
13,313.0,151.0,563.0,1000.0,40000.0,423032628.0,522040,48486,2.0,1832.0,225000000.0,2006.0,5000.0,7.3,5000,198032628.0,188.01450133333333
14,450.0,150.0,563.0,1000.0,40000.0,89289910.0,181792,45757,1.0,711.0,215000000.0,2013.0,2000.0,6.5,48000,-125710090.0,41.53019069767442
15,733.0,143.0,0.0,748.0,15000.0,291021565.0,548573,20495,0.0,2536.0,225000000.0,2013.0,3000.0,7.2,118000,66021565.0,129.34291777777779
16,258.0,150.0,80.0,201.0,22000.0,141614023.0,149922,22697,4.0,438.0,225000000.0,2008.0,216.0,6.6,0,-83385977.0,62.93956577777777
17,703.0,173.0,0.0,19000.0,26000.0,623279547.0,995415,87697,3.0,1722.0,220000000.0,2012.0,21000.0,8.1,123000,403279547.0,283.30888500000003
18,448.0,136.0,252.0,1000.0,40000.0,241063875.0,370704,54083,4.0,484.0,250000000.0,2011.0,11000.0,6.7,58000,-8936125.0,96.42555
19,451.0,106.0,188.0,718.0,10000.0,179020854.0,268154,12572,1.0,341.0,225000000.0,2012.0,816.0,6.8,40000,-45979146.0,79.564824
20,422.0,164.0,0.0,773.0,5000.0,255108370.0,354228,9152,0.0,802.0,250000000.0,2014.0,972.0,7.5,65000,5108370.0,102.043348
21,599.0,153.0,464.0,963.0,15000.0,262030663.0,451803,28489,0.0,1225.0,230000000.0,2012.0,10000.0,7.0,56000,32030663.0,113.92637521739131
22,343.0,156.0,0.0,738.0,891.0,105219735.0,211765,3244,0.0,546.0,200000000.0,2010.0,882.0,6.7,17000,-94780265.0,52.60986749999999
23,509.0,186.0,0.0,773.0,5000.0,258355354.0,483540,9152,6.0,951.0,225000000.0,2013.0,972.0,7.9,83000,33355354.0,114.82460177777779
24,251.0,113.0,129.0,1000.0,16000.0,70083519.0,149019,24106,2.0,666.0,180000000.0,2007.0,6000.0,6.1,0,-109916481.0,38.93528833333333
25,446.0,201.0,0.0,84.0,6000.0,218051260.0,316018,7123,0.0,2618.0,207000000.0,2005.0,919.0,7.2,0,11051260.0,105.33877294685989
26,315.0,194.0,0.0,794.0,29000.0,658672302.0,793059,45223,0.0,2528.0,200000000.0,1997.0,14000.0,7.7,26000,458672302.0,329.336151
27,516.0,147.0,94.0,11000.0,21000.0,407197282.0,272670,64798,0.0,1022.0,250000000.0,2016.0,19000.0,8.2,72000,157197282.0,162.8789128
28,377.0,131.0,532.0,627.0,14000.0,65173160.0,202382,26679,0.0,751.0,209000000.0,2012.0,10000.0,5.9,44000,-143826840.0,31.183330143540672
29,644.0,124.0,365.0,1000.0,3000.0,652177271.0,418214,8458,0.0,1290.0,150000000.0,2015.0,2000.0,7.0,150000,502177271.0,434.78484733333335
30,750.0,143.0,0.0,393.0,883.0,304360277.0,522030,2039,0.0,1498.0,200000000.0,2012.0,563.0,7.8,80000,104360277.0,152.1801385
31,300.0,135.0,0.0,4000.0,24000.0,373377893.0,411164,43388,1.0,1303.0,200000000.0,2004.0,11000.0,7.3,0,173377893.0,186.68894650000001
32,608.0,195.0,1000.0,3000.0,21000.0,408992272.0,557489,30426,3.0,1187.0,200000000.0,2013.0,4000.0,7.2,95000,208992272.0,204.49613599999998
33,451.0,108.0,13000.0,11000.0,40000.0,334185206.0,306320,79957,0.0,736.0,200000000.0,2010.0,25000.0,6.5,24000,134185206.0,167.092603
34,334.0,104.0,420.0,560.0,20000.0,234360014.0,383427,21714,0.0,1912.0,210000000.0,2006.0,808.0,6.8,0,24360014.0,111.60000666666667
35,376.0,104.0,37.0,760.0,12000.0,268488329.0,235025,14863,0.0,265.0,200000000.0,2013.0,779.0,7.3,44000,68488329.0,134.2441645
36,366.0,150.0,0.0,464.0,894.0,402076689.0,323207,3218,0.0,1439.0,200000000.0,2009.0,581.0,6.0,0,202076689.0,201.0383445
37,378.0,165.0,0.0,808.0,974.0,245428137.0,242420,3988,2.0,918.0,210000000.0,2014.0,956.0,5.7,56000,35428137.0,116.87054142857143
38,525.0,130.0,0.0,11000.0,44000.0,234903076.0,175409,73441,4.0,511.0,215000000.0,2013.0,15000.0,6.4,60000,19903076.0,109.2572446511628
39,495.0,142.0,464.0,825.0,15000.0,202853933.0,321227,28631,0.0,1067.0,200000000.0,2014.0,10000.0,6.7,41000,2853933.0,101.4269665
40,469.0,125.0,364.0,1000.0,12000.0,172051787.0,264183,25550,0.0,665.0,170000000.0,2010.0,10000.0,6.8,30000,2051787.0,101.20693352941177
41,304.0,106.0,487.0,776.0,1000.0,191450875.0,101178,4482,0.0,283.0,200000000.0,2011.0,919.0,6.3,10000,-8549125.0,95.7254375
42,436.0,123.0,258.0,326.0,16000.0,116593191.0,223393,17657,2.0,550.0,200000000.0,2011.0,368.0,5.6,24000,-83406809.0,58.2965955
43,453.0,103.0,125.0,721.0,15000.0,414984497.0,544884,19085,3.0,733.0,200000000.0,2010.0,1000.0,8.3,30000,214984497.0,207.49224850000002
44,422.0,118.0,368.0,988.0,23000.0,125320003.0,286095,27468,0.0,974.0,200000000.0,2009.0,3000.0,6.6,0,-74679997.0,62.66000149999999
45,424.0,140.0,0.0,14000.0,26000.0,350034110.0,278232,79150,0.0,657.0,190000000.0,2015.0,23000.0,7.2,94000,160034110.0,184.22847894736842
46,654.0,123.0,395.0,1000.0,17000.0,202351611.0,465019,32392,0.0,995.0,190000000.0,2013.0,11000.0,7.0,129000,12351611.0,106.50084789473684
47,539.0,149.0,0.0,20000.0,34000.0,233914986.0,514125,91434,7.0,752.0,200000000.0,2014.0,22000.0,8.0,82000,33914986.0,116.957493
48,590.0,132.0,14000.0,928.0,19000.0,228756232.0,395573,21411,0.0,1171.0,190000000.0,2013.0,981.0,7.8,92000,38756232.0,120.39801684210528
49,338.0,114.0,0.0,140.0,979.0,65171860.0,106416,1766,1.0,205.0,195000000.0,2013.0,557.0,6.3,22000,-129828140.0,33.42146666666667
50,490.0,143.0,1000.0,77.0,29000.0,144812796.0,362912,29770,4.0,753.0,105000000.0,2013.0,509.0,7.3,115000,39812796.0,137.91694857142858
51,306.0,116.0,179.0,236.0,15000.0,90755643.0,222403,16149,2.0,453.0,200000000.0,2010.0,567.0,6.6,23000,-109244357.0,45.377821499999996
52,575.0,131.0,0.0,919.0,16000.0,101785482.0,381148,19166,0.0,1106.0,190000000.0,2013.0,968.0,7.0,83000,-88214518.0,53.57130631578947
53,428.0,154.0,0.0,581.0,894.0,352358779.0,326180,2593,2.0,899.0,195000000.0,2011.0,829.0,6.3,46000,157358779.0,180.69680974358974
54,470.0,122.0,14000.0,1000.0,11000.0,317011114.0,333847,14959,2.0,2054.0,185000000.0,2008.0,1000.0,6.2,5000,132011114.0,171.35735891891892
56,488.0,93.0,56.0,838.0,2000.0,237282182.0,273556,5005,0.0,428.0,185000000.0,2012.0,1000.0,7.2,39000,52282182.0,128.26063891891891
57,322.0,122.0,681.0,105.0,998.0,130468626.0,53607,1327,4.0,432.0,185000000.0,2016.0,119.0,7.5,30000,-54531374.0,70.52358162162162
58,421.0,98.0,475.0,522.0,1000.0,223806889.0,718837,2975,0.0,1043.0,180000000.0,2008.0,729.0,8.4,16000,43806889.0,124.33716055555554
59,162.0,91.0,420.0,173.0,268.0,140080850.0,121084,1125,2.0,221.0,140000000.0,2007.0,268.0,6.2,0,80850.0,100.05774999999998
60,367.0,158.0,776.0,310.0,1000.0,166112167.0,283418,2144,0.0,1055.0,200000000.0,2009.0,468.0,5.8,13000,-33887833.0,83.0560835
61,240.0,96.0,0.0,10000.0,18000.0,137850096.0,72809,48878,0.0,249.0,200000000.0,2009.0,14000.0,6.8,0,-62149904.0,68.925048
62,384.0,127.0,0.0,13000.0,17000.0,47375327.0,139593,47334,1.0,720.0,176000000.0,2015.0,15000.0,5.4,44000,-128624673.0,26.917799431818185
