,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,movie_facebook_likes,profit,profit_per
0,324.0,100.0,15.0,284.0,799.0,200807262.0,294810,2036,1.0,387.0,260000000.0,2010.0,553.0,29000,-59192738.0,77.23356230769231
1,434.0,169.0,0.0,903.0,18000.0,200069408.0,240396,29991,0.0,2367.0,209000000.0,2006.0,10000.0,0,-8930592.0,95.7269894736842
2,733.0,143.0,0.0,748.0,15000.0,291021565.0,548573,20495,0.0,2536.0,225000000.0,2013.0,3000.0,118000,66021565.0,129.3429177777778
3,451.0,106.0,188.0,718.0,10000.0,179020854.0,268154,12572,1.0,341.0,225000000.0,2012.0,816.0,40000,-45979146.0,79.564824
4,509.0,186.0,0.0,773.0,5000.0,258355354.0,483540,9152,6.0,951.0,225000000.0,2013.0,972.0,83000,33355354.0,114.8246017777778
5,516.0,147.0,94.0,11000.0,21000.0,407197282.0,272670,64798,0.0,1022.0,250000000.0,2016.0,19000.0,72000,157197282.0,162.8789128
6,300.0,135.0,0.0,4000.0,24000.0,373377893.0,411164,43388,1.0,1303.0,200000000.0,2004.0,11000.0,0,173377893.0,186.6889465
7,376.0,104.0,37.0,760.0,12000.0,268488329.0,235025,14863,0.0,265.0,200000000.0,2013.0,779.0,44000,68488329.0,134.2441645
8,495.0,142.0,464.0,825.0,15000.0,202853933.0,321227,28631,0.0,1067.0,200000000.0,2014.0,10000.0,41000,2853933.0,101.4269665
9,453.0,103.0,125.0,721.0,15000.0,414984497.0,544884,19085,3.0,733.0,200000000.0,2010.0,1000.0,30000,214984497.0,207.4922485
10,539.0,149.0,0.0,20000.0,34000.0,233914986.0,514125,91434,7.0,752.0,200000000.0,2014.0,22000.0,82000,33914986.0,116.957493
11,306.0,116.0,179.0,236.0,15000.0,90755643.0,222403,16149,2.0,453.0,200000000.0,2010.0,567.0,23000,-109244357.0,45.3778215
12,488.0,93.0,56.0,838.0,2000.0,237282182.0,273556,5005,0.0,428.0,185000000.0,2012.0,1000.0,39000,52282182.0,128.26063891891891
13,367.0,158.0,776.0,310.0,1000.0,166112167.0,283418,2144,0.0,1055.0,200000000.0,2009.0,468.0,13000,-33887833.0,83.0560835
14,284.0,150.0,80.0,82.0,1000.0,291709845.0,286506,1317,5.0,1463.0,180000000.0,2005.0,190.0,0,111709845.0,162.061025
15,219.0,94.0,11.0,459.0,1000.0,198332128.0,114553,2579,2.0,187.0,175000000.0,2009.0,973.0,0,23332128.0,113.33264457142856
16,264.0,112.0,357.0,595.0,5000.0,102176165.0,117927,9131,2.0,501.0,145000000.0,2008.0,3000.0,0,-42823835.0,70.46632068965519
17,91.0,176.0,58.0,60.0,711.0,88246220.0,144337,1004,0.0,309.0,175000000.0,1995.0,60.0,0,-86753780.0,50.426411428571434
18,453.0,124.0,4000.0,4000.0,21000.0,312057433.0,522371,48638,4.0,723.0,200000000.0,2010.0,19000.0,18000,112057433.0,156.0287165
19,218.0,128.0,47.0,982.0,18000.0,38297305.0,116994,20965,2.0,324.0,175000000.0,2013.0,1000.0,35000,-136702695.0,21.884174285714288
20,384.0,102.0,38.0,562.0,756.0,222487711.0,279093,2963,0.0,433.0,165000000.0,2014.0,719.0,41000,57487711.0,134.84103696969697
21,288.0,98.0,255.0,759.0,18000.0,217387997.0,485430,20453,0.0,492.0,165000000.0,2010.0,953.0,33000,52387997.0,131.7503012121212
22,642.0,148.0,22000.0,23000.0,29000.0,292568851.0,1468200,81115,0.0,2803.0,160000000.0,2010.0,27000.0,175000,132568851.0,182.855531875
